customer_id,name,email,phone,account_age_days,city,state,risk_tier
CUST000041,Susan Rodriguez,susan.rodriguez46@gmail.com,541-989-3143,1334,Phoenix,TX,HIGH
CUST000042,Joseph Moore,joseph.moore723@outlook.com,774-209-2832,184,Charlotte,VA,LOW
CUST000043,Sarah Johnson,sarah.johnson855@hotmail.com,796-765-3426,910,Chicago,NY,LOW
CUST000044,Barbara Johnson,barbara.johnson921@hotmail.com,415-898-5088,1395,Los Angeles,PA,MEDIUM
CUST000045,Mark Wilson,mark.wilson998@yahoo.com,442-366-3900,874,New York,TX,HIGH
CUST000046,Sandra Hernandez,sandra.hernandez802@outlook.com,885-952-5065,576,Chicago,WA,HIGH
CUST000047,Patricia Gonzalez,patricia.gonzalez894@gmail.com,681-427-4269,1702,Charlotte,GA,LOW
CUST000048,Elizabeth Davis,elizabeth.davis229@gmail.com,875-397-7528,702,Phoenix,AZ,LOW
CUST000049,Matthew Rodriguez,matthew.rodriguez360@outlook.com,895-749-6425,86,Los Angeles,MA,LOW
CUST000050,Jennifer Jackson,jennifer.jackson986@hotmail.com,239-311-8119,737,Jacksonville,WA,LOW
CUST000051,Susan Martin,susan.martin524@gmail.com,594-790-4114,551,New York,VA,MEDIUM
CUST000052,James Taylor,james.taylor948@yahoo.com,572-641-2146,1390,Charlotte,PA,MEDIUM
CUST000053,David Brown,david.brown738@hotmail.com,719-516-7691,698,San Antonio,VA,LOW
CUST000054,Sarah Jones,sarah.jones197@outlook.com,880-588-3851,1290,San Jose,IL,MEDIUM
CUST000055,Sarah Smith,sarah.smith312@hotmail.com,415-640-6279,982,San Diego,GA,HIGH
CUST000056,Michael Taylor,michael.taylor485@yahoo.com,874-286-5649,1085,Austin,NJ,MEDIUM
CUST000057,David Williams,david.williams839@yahoo.com,888-517-4680,1681,Houston,TX,LOW
CUST000058,Mary Davis,mary.davis487@gmail.com,666-624-4185,1501,Jacksonville,OH,MEDIUM
CUST000059,Richard Davis,richard.davis152@gmail.com,968-988-2746,1624,San Antonio,FL,LOW
CUST000060,Betty Taylor,betty.taylor476@gmail.com,770-455-2988,964,Chicago,WA,MEDIUM
CUST000061,Nancy Taylor,nancy.taylor573@hotmail.com,973-653-9270,903,Columbus,MA,MEDIUM
CUST000062,Joseph Garcia,joseph.garcia762@outlook.com,660-465-5050,1750,Austin,IL,MEDIUM
CUST000063,Jessica Davis,jessica.davis282@outlook.com,279-930-5681,510,Phoenix,PA,LOW
CUST000064,Mark Moore,mark.moore83@yahoo.com,354-436-7275,1451,Chicago,VA,LOW
CUST000065,John Wilson,john.wilson418@hotmail.com,755-677-7812,157,Houston,AZ,MEDIUM
CUST000066,Richard Jackson,richard.jackson969@gmail.com,983-789-7232,1006,New York,PA,LOW
CUST000067,Matthew Gonzalez,matthew.gonzalez874@outlook.com,751-965-9947,1668,San Jose,MA,LOW
CUST000068,Jessica Davis,jessica.davis280@outlook.com,697-229-7371,718,Austin,NJ,MEDIUM
CUST000069,Lisa Garcia,lisa.garcia861@outlook.com,330-837-9751,85,Charlotte,OH,MEDIUM
CUST000070,Charles Smith,charles.smith86@outlook.com,338-672-3977,132,Phoenix,OH,LOW
CUST000071,Michael Anderson,michael.anderson335@hotmail.com,979-588-5558,1570,Columbus,OH,LOW
CUST000072,Anthony Williams,anthony.williams482@gmail.com,967-752-1853,746,Houston,NJ,LOW
CUST000073,Matthew Johnson,matthew.johnson773@gmail.com,453-404-1333,1302,Chicago,FL,LOW
CUST000074,Jessica Brown,jessica.brown578@yahoo.com,676-916-5198,1600,Philadelphia,TX,MEDIUM
CUST000075,Karen Brown,karen.brown797@yahoo.com,518-310-1420,668,San Jose,NJ,MEDIUM
CUST000076,Richard Miller,richard.miller78@yahoo.com,304-913-5941,1771,Austin,MI,LOW
CUST000077,Betty Jackson,betty.jackson802@gmail.com,555-745-8018,1384,Philadelphia,CA,MEDIUM
CUST000078,Christopher Hernandez,christopher.hernandez13@outlook.com,701-308-8102,771,Austin,MA,MEDIUM
CUST000079,Daniel Jones,daniel.jones446@yahoo.com,951-734-5425,1291,Fort Worth,MA,MEDIUM
CUST000080,Matthew Thomas,matthew.thomas477@outlook.com,948-806-5397,690,Columbus,FL,LOW
CUST000081,William Anderson,william.anderson250@outlook.com,783-824-7209,718,New York,GA,LOW
CUST000082,Jennifer Thomas,jennifer.thomas218@hotmail.com,464-548-5581,1250,Jacksonville,MA,LOW
CUST000083,Sarah Smith,sarah.smith530@yahoo.com,287-447-7658,1030,Dallas,WA,LOW
CUST000084,Daniel Thomas,daniel.thomas662@outlook.com,658-217-2524,632,Houston,OH,HIGH
CUST000085,Linda Martinez,linda.martinez680@hotmail.com,684-766-9698,734,San Antonio,VA,MEDIUM
CUST000086,David Lopez,david.lopez720@outlook.com,477-513-5118,502,Los Angeles,VA,LOW
CUST000087,David Brown,david.brown761@yahoo.com,396-421-8933,596,Jacksonville,MI,MEDIUM
CUST000088,Karen Martinez,karen.martinez103@yahoo.com,503-432-6912,397,Phoenix,NY,HIGH
CUST000089,Sarah Jones,sarah.jones281@gmail.com,255-766-5786,1458,Chicago,NJ,MEDIUM
CUST000090,Patricia Smith,patricia.smith588@hotmail.com,680-690-8216,727,Chicago,NY,LOW
CUST000091,Margaret Thomas,margaret.thomas117@gmail.com,610-703-2213,1211,Austin,NJ,LOW
CUST000092,Robert Jones,robert.jones831@hotmail.com,287-454-2940,1172,Fort Worth,OH,MEDIUM
CUST000093,Karen Martin,karen.martin232@outlook.com,661-653-5871,1791,San Jose,OH,LOW
CUST000094,Charles Martin,charles.martin62@gmail.com,981-412-4457,571,Austin,CA,LOW
CUST000095,Linda Garcia,linda.garcia566@gmail.com,360-202-7693,952,Jacksonville,MI,MEDIUM
CUST000096,Elizabeth Johnson,elizabeth.johnson238@hotmail.com,923-489-8438,175,Austin,FL,LOW
CUST000097,Betty Jackson,betty.jackson678@yahoo.com,635-317-9922,490,Austin,TX,LOW
CUST000098,Anthony Jones,anthony.jones74@gmail.com,369-514-5728,929,Los Angeles,GA,HIGH
CUST000099,Elizabeth Gonzalez,elizabeth.gonzalez966@hotmail.com,712-752-9090,926,Los Angeles,MI,LOW
CUST000100,Mark Wilson,mark.wilson753@hotmail.com,818-456-1423,217,Houston,NJ,MEDIUM
CUST000101,Charles Smith,charles.smith784@hotmail.com,790-241-3870,993,Dallas,NJ,MEDIUM
CUST000102,Sandra Rodriguez,sandra.rodriguez186@outlook.com,850-703-2494,992,Philadelphia,OH,LOW
CUST000103,David Brown,david.brown879@yahoo.com,537-621-9117,620,Austin,OH,MEDIUM
CUST000104,Mary Anderson,mary.anderson91@hotmail.com,458-531-2899,1612,San Antonio,AZ,MEDIUM
CUST000105,Anthony Smith,anthony.smith674@outlook.com,623-255-4073,1091,Philadelphia,MI,MEDIUM
CUST000106,Christopher Anderson,christopher.anderson779@gmail.com,408-473-9998,298,Charlotte,IL,MEDIUM
CUST000107,Mark Thomas,mark.thomas125@gmail.com,845-823-4920,1483,Chicago,IL,MEDIUM
CUST000108,James Moore,james.moore418@gmail.com,430-316-8560,270,Austin,AZ,LOW
CUST000109,Jessica Martinez,jessica.martinez522@hotmail.com,625-694-8736,529,San Diego,NC,LOW
CUST000110,Richard Miller,richard.miller944@yahoo.com,271-482-7798,726,Charlotte,WA,MEDIUM
CUST000111,William Smith,william.smith290@hotmail.com,801-793-9022,1802,Chicago,GA,MEDIUM
CUST000112,Jessica Lopez,jessica.lopez341@outlook.com,666-529-4090,1458,Houston,MI,MEDIUM
CUST000113,Linda Wilson,linda.wilson45@hotmail.com,962-684-7246,820,Austin,WA,HIGH
CUST000114,Robert Thomas,robert.thomas988@gmail.com,329-714-6439,1811,Los Angeles,AZ,MEDIUM
CUST000115,Patricia Taylor,patricia.taylor933@outlook.com,215-939-3361,869,Columbus,NJ,LOW
CUST000116,John Thomas,john.thomas801@hotmail.com,546-838-7512,1360,Los Angeles,AZ,LOW
CUST000117,Margaret Moore,margaret.moore390@hotmail.com,841-935-8994,1816,Dallas,NY,MEDIUM
CUST000118,John Davis,john.davis647@hotmail.com,432-964-2480,918,Los Angeles,WA,HIGH
CUST000119,Daniel Brown,daniel.brown455@yahoo.com,910-506-1474,124,Philadelphia,WA,LOW
CUST000120,Elizabeth Lopez,elizabeth.lopez384@outlook.com,349-450-9702,873,San Jose,NJ,LOW
CUST000121,Jennifer Garcia,jennifer.garcia81@outlook.com,834-899-4945,1049,Charlotte,MI,LOW
CUST000122,Linda Anderson,linda.anderson654@hotmail.com,670-461-1153,1677,San Diego,MA,LOW
CUST000123,Nancy Moore,nancy.moore162@gmail.com,652-553-5901,1338,San Antonio,VA,LOW
CUST000124,Joseph Martinez,joseph.martinez204@outlook.com,694-309-4886,811,San Jose,PA,MEDIUM
CUST000125,Elizabeth Martinez,elizabeth.martinez23@outlook.com,481-208-1803,1271,Jacksonville,GA,LOW
CUST000126,Matthew Davis,matthew.davis622@hotmail.com,424-851-4115,1301,Phoenix,NJ,HIGH
CUST000127,Matthew Jones,matthew.jones644@gmail.com,842-861-1645,662,Fort Worth,GA,LOW
CUST000128,Charles Lopez,charles.lopez750@yahoo.com,292-502-6352,1560,San Antonio,TX,LOW
CUST000129,Robert Moore,robert.moore898@hotmail.com,743-713-5465,1730,Chicago,IL,MEDIUM
CUST000130,Betty Martinez,betty.martinez765@hotmail.com,317-679-2233,318,Fort Worth,FL,HIGH
CUST000131,Lisa Gonzalez,lisa.gonzalez991@hotmail.com,292-604-1228,571,Dallas,CA,MEDIUM
CUST000132,Barbara Rodriguez,barbara.rodriguez599@outlook.com,853-580-2775,1412,Houston,GA,LOW
CUST000133,Karen Moore,karen.moore336@yahoo.com,863-264-8606,1465,Phoenix,NJ,MEDIUM
CUST000134,Patricia Jones,patricia.jones47@gmail.com,511-704-2902,229,Houston,MA,MEDIUM
CUST000135,Robert Gonzalez,robert.gonzalez465@hotmail.com,886-960-9850,888,San Jose,VA,HIGH
CUST000136,Robert Wilson,robert.wilson671@gmail.com,701-830-7686,602,New York,VA,LOW
CUST000137,Michael Anderson,michael.anderson456@yahoo.com,571-301-7018,1145,Charlotte,NJ,LOW
CUST000138,Mary Gonzalez,mary.gonzalez283@yahoo.com,325-665-2501,1387,Houston,NJ,HIGH
CUST000139,Karen Smith,karen.smith52@hotmail.com,449-328-4362,170,Columbus,WA,MEDIUM
CUST000140,Michael Jackson,michael.jackson222@yahoo.com,536-992-3417,1645,Charlotte,MI,LOW
CUST000141,William Jones,william.jones134@hotmail.com,378-312-1422,299,New York,PA,LOW
CUST000142,Charles Hernandez,charles.hernandez17@yahoo.com,471-253-3076,1549,San Antonio,NC,LOW
CUST000143,Lisa Williams,lisa.williams488@outlook.com,996-570-9408,1245,Los Angeles,GA,MEDIUM
CUST000144,Linda Martin,linda.martin45@hotmail.com,669-858-1510,154,San Diego,AZ,MEDIUM
CUST000145,Susan Brown,susan.brown503@outlook.com,275-282-6277,1275,Chicago,CA,LOW
CUST000146,William Martin,william.martin649@hotmail.com,590-811-9692,633,San Diego,NC,MEDIUM
CUST000147,Susan Brown,susan.brown813@gmail.com,870-866-4522,910,San Diego,MA,LOW
CUST000148,Susan Hernandez,susan.hernandez848@outlook.com,608-625-2557,670,San Antonio,PA,HIGH
CUST000149,William Lopez,william.lopez977@yahoo.com,903-685-2099,216,Columbus,CA,LOW
CUST000150,Susan Brown,susan.brown763@hotmail.com,333-769-1982,1231,Dallas,NC,LOW
CUST000151,Nancy Brown,nancy.brown421@hotmail.com,881-968-7929,1807,Charlotte,VA,LOW
CUST000152,Elizabeth Martin,elizabeth.martin320@hotmail.com,306-791-9313,465,Chicago,NJ,MEDIUM
CUST000153,Linda Brown,linda.brown359@hotmail.com,317-980-5564,1205,Houston,WA,MEDIUM
CUST000154,Margaret Moore,margaret.moore998@gmail.com,823-873-5381,89,Chicago,IL,HIGH
CUST000155,Matthew Martinez,matthew.martinez944@hotmail.com,559-206-3972,1811,Chicago,MI,HIGH
CUST000156,Richard Williams,richard.williams146@gmail.com,293-964-9691,470,San Antonio,OH,MEDIUM
CUST000157,David Garcia,david.garcia379@hotmail.com,938-532-2391,137,Chicago,TX,MEDIUM
CUST000158,Mary Williams,mary.williams279@outlook.com,877-634-8957,1273,San Diego,OH,LOW
CUST000159,Michael Taylor,michael.taylor117@hotmail.com,640-313-5640,1418,Austin,MI,MEDIUM
CUST000160,Thomas Martinez,thomas.martinez47@yahoo.com,604-813-1897,45,Houston,IL,LOW
CUST000161,Matthew Jones,matthew.jones783@hotmail.com,496-535-2965,45,San Diego,VA,MEDIUM
CUST000162,Jennifer Jones,jennifer.jones390@yahoo.com,712-772-6802,177,San Antonio,AZ,HIGH
CUST000163,Mary Wilson,mary.wilson20@outlook.com,279-520-8033,1204,San Antonio,VA,HIGH
CUST000164,Susan Martinez,susan.martinez118@outlook.com,221-532-3815,1671,San Jose,GA,HIGH
CUST000165,Sandra Lopez,sandra.lopez91@outlook.com,308-449-8138,1236,San Antonio,NC,LOW
CUST000166,Richard Martinez,richard.martinez764@hotmail.com,426-541-3754,186,Dallas,NJ,LOW
CUST000167,Thomas Taylor,thomas.taylor199@hotmail.com,559-944-3419,513,Los Angeles,TX,LOW
CUST000168,Michael Garcia,michael.garcia617@yahoo.com,978-977-2234,392,Fort Worth,NJ,MEDIUM
CUST000169,Joseph Jackson,joseph.jackson779@outlook.com,897-778-6295,1799,Austin,PA,LOW
CUST000170,Joseph Williams,joseph.williams481@outlook.com,846-510-5500,1241,New York,PA,MEDIUM
CUST000171,John Martinez,john.martinez473@outlook.com,238-258-7041,1733,Phoenix,CA,HIGH
CUST000172,Margaret Williams,margaret.williams630@outlook.com,673-794-1672,951,Charlotte,WA,MEDIUM
CUST000173,Christopher Miller,christopher.miller330@outlook.com,713-354-2013,952,Los Angeles,WA,LOW
CUST000174,Daniel Williams,daniel.williams517@yahoo.com,240-453-8172,929,Dallas,NC,MEDIUM
CUST000175,Jennifer Lopez,jennifer.lopez382@hotmail.com,596-618-6543,1420,San Jose,NY,HIGH
CUST000176,Christopher Hernandez,christopher.hernandez68@hotmail.com,296-771-7333,611,Phoenix,VA,HIGH
CUST000177,Sandra Martin,sandra.martin895@yahoo.com,541-283-3317,746,Phoenix,NJ,HIGH
CUST000178,Nancy Gonzalez,nancy.gonzalez133@gmail.com,517-772-7171,1347,Fort Worth,PA,LOW
CUST000179,Nancy Taylor,nancy.taylor96@outlook.com,720-570-1298,772,Phoenix,TX,LOW
CUST000180,David Thomas,david.thomas197@yahoo.com,340-358-2264,635,Columbus,WA,LOW
CUST000181,Thomas Moore,thomas.moore856@gmail.com,877-544-3147,1253,San Antonio,TX,LOW
CUST000182,Jennifer Martin,jennifer.martin829@yahoo.com,938-648-1715,871,Philadelphia,NJ,HIGH
CUST000183,Linda Anderson,linda.anderson626@hotmail.com,970-966-8355,509,Dallas,FL,LOW
CUST000184,Betty Thomas,betty.thomas926@yahoo.com,576-894-8218,975,Fort Worth,IL,MEDIUM
CUST000185,Thomas Taylor,thomas.taylor429@yahoo.com,404-819-3267,1817,Phoenix,NY,HIGH
CUST000186,Jessica Lopez,jessica.lopez568@gmail.com,928-728-3042,613,Los Angeles,WA,LOW
CUST000187,William Anderson,william.anderson928@yahoo.com,647-293-4637,1702,San Diego,MA,LOW
CUST000188,Sandra Smith,sandra.smith425@gmail.com,605-714-7126,512,San Antonio,CA,LOW
CUST000189,Linda Smith,linda.smith327@gmail.com,931-865-6493,1650,Chicago,TX,LOW
CUST000190,Elizabeth Thomas,elizabeth.thomas713@yahoo.com,977-922-8685,948,San Jose,NY,LOW
CUST000191,James Rodriguez,james.rodriguez221@yahoo.com,761-944-9647,896,Los Angeles,WA,LOW
CUST000192,Linda Martinez,linda.martinez125@gmail.com,444-629-8489,158,Los Angeles,AZ,MEDIUM
CUST000193,Karen Moore,karen.moore17@yahoo.com,935-347-5772,909,New York,MI,LOW
CUST000194,Linda Jackson,linda.jackson427@yahoo.com,880-884-2402,1102,Philadelphia,CA,MEDIUM
CUST000195,Sarah Taylor,sarah.taylor806@gmail.com,599-681-1713,1331,San Antonio,PA,LOW
CUST000196,Lisa Smith,lisa.smith366@gmail.com,553-446-2698,1610,San Jose,VA,LOW
CUST000197,Robert Johnson,robert.johnson361@hotmail.com,858-379-8612,1454,San Diego,NJ,LOW
CUST000198,Betty Jones,betty.jones65@outlook.com,237-500-4302,119,Fort Worth,FL,LOW
CUST000199,David Martinez,david.martinez528@outlook.com,756-684-5150,104,Fort Worth,NJ,LOW
CUST000200,Elizabeth Lopez,elizabeth.lopez883@gmail.com,871-539-5476,284,Fort Worth,PA,MEDIUM
CUST000201,Mark Gonzalez,mark.gonzalez762@outlook.com,595-547-4060,1046,Jacksonville,GA,LOW
CUST000202,Sandra Taylor,sandra.taylor274@gmail.com,944-634-2293,911,San Jose,AZ,LOW
CUST000203,Sarah Martinez,sarah.martinez329@gmail.com,281-535-5843,657,San Diego,MI,HIGH
CUST000204,Susan Garcia,susan.garcia707@outlook.com,559-657-1693,1518,Columbus,MA,LOW
CUST000205,Karen Wilson,karen.wilson282@gmail.com,276-887-7655,774,Dallas,WA,HIGH
CUST000206,Nancy Garcia,nancy.garcia976@gmail.com,346-822-8179,101,Chicago,CA,LOW
CUST000207,Matthew Lopez,matthew.lopez371@outlook.com,780-233-3513,1420,San Diego,PA,LOW
CUST000208,Joseph Williams,joseph.williams588@yahoo.com,742-575-7521,673,Austin,IL,LOW
CUST000209,Patricia Smith,patricia.smith754@yahoo.com,711-730-7340,1180,Los Angeles,IL,LOW
CUST000210,Daniel Anderson,daniel.anderson220@hotmail.com,910-702-4279,281,Chicago,AZ,LOW
CUST000211,Joseph Garcia,joseph.garcia921@outlook.com,289-898-6236,1397,Philadelphia,VA,LOW
CUST000212,Sarah Moore,sarah.moore298@hotmail.com,361-928-3852,1655,Philadelphia,NC,LOW
CUST000213,Patricia Miller,patricia.miller812@yahoo.com,442-705-1430,769,Dallas,MI,LOW
CUST000214,Joseph Moore,joseph.moore133@gmail.com,267-516-7523,1498,Jacksonville,GA,MEDIUM
CUST000215,Susan Wilson,susan.wilson844@gmail.com,328-524-2215,951,San Diego,NJ,MEDIUM
CUST000216,Barbara Jones,barbara.jones900@yahoo.com,986-332-8088,1059,Charlotte,AZ,LOW
CUST000217,Anthony Brown,anthony.brown531@yahoo.com,511-368-3653,690,Charlotte,VA,LOW
CUST000218,Barbara Taylor,barbara.taylor917@hotmail.com,280-456-4216,1330,Dallas,IL,LOW
CUST000219,Christopher Martinez,christopher.martinez630@gmail.com,714-856-3762,1242,San Jose,TX,LOW
CUST000220,Nancy Martin,nancy.martin738@hotmail.com,777-242-1464,196,New York,NJ,MEDIUM
CUST000221,William Miller,william.miller786@outlook.com,832-854-1496,1049,Charlotte,NJ,MEDIUM
CUST000222,Elizabeth Martinez,elizabeth.martinez495@yahoo.com,901-615-5873,958,Los Angeles,VA,LOW
CUST000223,Jennifer Anderson,jennifer.anderson426@outlook.com,675-408-6573,1272,Chicago,PA,HIGH
CUST000224,David Lopez,david.lopez999@outlook.com,333-978-7070,1084,Dallas,CA,LOW
CUST000225,Linda Anderson,linda.anderson126@hotmail.com,660-453-3308,228,New York,IL,MEDIUM
CUST000226,Margaret Martin,margaret.martin429@yahoo.com,363-535-6123,418,Fort Worth,TX,MEDIUM
CUST000227,Thomas Anderson,thomas.anderson511@hotmail.com,709-223-2475,835,Dallas,GA,LOW
CUST000228,Michael Jackson,michael.jackson362@gmail.com,251-488-9108,1253,Charlotte,AZ,HIGH
CUST000229,Nancy Thomas,nancy.thomas293@gmail.com,310-641-3194,571,Jacksonville,PA,MEDIUM
CUST000230,Barbara Johnson,barbara.johnson411@gmail.com,783-775-4189,772,Dallas,IL,LOW
CUST000231,Richard Taylor,richard.taylor462@hotmail.com,838-896-2946,293,Los Angeles,OH,LOW
CUST000232,Betty Hernandez,betty.hernandez572@hotmail.com,973-347-4261,1263,Dallas,OH,MEDIUM
CUST000233,Mary Johnson,mary.johnson40@yahoo.com,930-541-8761,1093,San Diego,TX,MEDIUM
CUST000234,Mark Taylor,mark.taylor144@hotmail.com,827-526-3662,834,San Jose,VA,LOW
CUST000235,Charles Hernandez,charles.hernandez520@outlook.com,925-776-5911,1002,Columbus,NY,LOW
CUST000236,David Brown,david.brown427@hotmail.com,942-904-1436,1252,San Diego,IL,HIGH
CUST000237,Betty Jackson,betty.jackson592@yahoo.com,938-252-8871,379,Dallas,NJ,HIGH
CUST000238,Karen Gonzalez,karen.gonzalez152@yahoo.com,232-786-2800,420,New York,GA,LOW
CUST000239,Susan Jones,susan.jones423@yahoo.com,620-713-8726,1817,Columbus,VA,HIGH
CUST000240,Mary Jones,mary.jones532@yahoo.com,774-532-8837,1106,San Antonio,PA,LOW
CUST000241,Joseph Moore,joseph.moore351@hotmail.com,892-990-5331,1279,San Diego,FL,LOW
CUST000242,William Moore,william.moore306@yahoo.com,504-989-5735,1473,Houston,VA,HIGH
CUST000243,Jessica Hernandez,jessica.hernandez492@hotmail.com,773-938-5480,619,Los Angeles,MI,HIGH
CUST000244,Sarah Gonzalez,sarah.gonzalez918@outlook.com,553-991-3399,624,New York,IL,HIGH
CUST000245,John Lopez,john.lopez947@outlook.com,871-462-8849,468,Houston,AZ,MEDIUM
CUST000246,William Moore,william.moore713@hotmail.com,340-311-4920,526,New York,NJ,MEDIUM
CUST000247,Linda Davis,linda.davis54@gmail.com,623-538-8739,235,Austin,WA,LOW
CUST000248,James Moore,james.moore952@yahoo.com,616-868-8793,1007,Austin,FL,LOW
CUST000249,David Martinez,david.martinez662@gmail.com,987-291-4804,1125,Jacksonville,VA,LOW
CUST000250,Sandra Garcia,sandra.garcia428@yahoo.com,237-606-9116,411,Charlotte,VA,LOW
CUST000251,Mark Johnson,mark.johnson10@hotmail.com,781-817-2758,716,Phoenix,GA,HIGH
CUST000252,Sarah Taylor,sarah.taylor506@yahoo.com,716-679-5470,424,Fort Worth,CA,LOW
CUST000253,Jennifer Anderson,jennifer.anderson664@hotmail.com,935-390-1230,1538,Philadelphia,WA,LOW
CUST000254,Charles Miller,charles.miller180@outlook.com,637-727-6372,207,San Antonio,NJ,LOW
CUST000255,Jennifer Jones,jennifer.jones489@hotmail.com,454-206-5272,815,Houston,GA,LOW
CUST000256,David Martinez,david.martinez597@gmail.com,467-869-6890,1448,Houston,NY,HIGH
CUST000257,Patricia Anderson,patricia.anderson315@yahoo.com,615-902-9233,1470,Fort Worth,IL,HIGH
CUST000258,Patricia Martinez,patricia.martinez377@yahoo.com,424-336-8834,343,San Diego,VA,MEDIUM
CUST000259,Barbara Wilson,barbara.wilson719@outlook.com,975-750-4578,1590,Houston,NJ,MEDIUM
CUST000260,Margaret Williams,margaret.williams539@outlook.com,740-920-6927,189,Charlotte,MI,LOW
CUST000261,Mary Moore,mary.moore925@yahoo.com,786-749-3455,366,Philadelphia,AZ,MEDIUM
CUST000262,Joseph Brown,joseph.brown697@yahoo.com,934-797-9008,216,Charlotte,NC,MEDIUM
CUST000263,Betty Johnson,betty.johnson465@yahoo.com,725-625-8484,1184,New York,NC,MEDIUM
CUST000264,Nancy Martinez,nancy.martinez741@gmail.com,605-460-1049,1557,Houston,MI,LOW
CUST000265,Mary Wilson,mary.wilson353@gmail.com,754-261-2130,996,New York,IL,MEDIUM
CUST000266,Jennifer Jones,jennifer.jones785@outlook.com,583-591-8348,1810,Charlotte,MA,MEDIUM
CUST000267,Richard Williams,richard.williams700@yahoo.com,869-556-2943,395,Dallas,OH,MEDIUM
