recipient_id,recipient_name,recipient_email,recipient_phone,recipient_account_age_days,recipient_verified
RCPT000034,James Thomas,james.thomas338@hotmail.com,983-405-1036,747,True
RCPT000035,Lisa Gonzalez,lisa.gonzalez347@outlook.com,345-647-9545,445,True
RCPT000036,Mary Anderson,mary.anderson759@gmail.com,557-284-4111,1746,True
RCPT000037,Susan Martin,susan.martin426@outlook.com,386-266-3105,1096,True
RCPT000038,David Gonzalez,david.gonzalez561@yahoo.com,766-660-1460,1696,True
RCPT000039,Jessica Taylor,jessica.taylor960@hotmail.com,429-660-3549,229,True
RCPT000040,Lisa Jackson,lisa.jackson175@hotmail.com,286-428-8751,212,False
RCPT000041,Linda Smith,linda.smith892@outlook.com,905-396-1579,1698,True
RCPT000042,Thomas Miller,thomas.miller35@outlook.com,772-467-9222,419,False
RCPT000043,Matthew Taylor,matthew.taylor952@gmail.com,633-653-3652,408,False
RCPT000044,Susan Hernandez,susan.hernandez683@outlook.com,247-608-8779,985,True
RCPT000045,Sandra Lopez,sandra.lopez578@hotmail.com,659-449-6359,596,True
RCPT000046,Betty Smith,betty.smith327@outlook.com,692-874-3143,725,True
RCPT000047,Elizabeth Johnson,elizabeth.johnson184@hotmail.com,904-966-9735,1334,True
RCPT000048,James Moore,james.moore934@hotmail.com,533-741-8332,310,True
RCPT000049,David Thomas,david.thomas516@hotmail.com,974-568-8743,1289,True
RCPT000050,Mary Taylor,mary.taylor22@yahoo.com,495-316-1268,1625,True
RCPT000051,John Lopez,john.lopez61@outlook.com,952-981-5963,1188,True
RCPT000052,Patricia Gonzalez,patricia.gonzalez389@gmail.com,735-887-2947,877,True
RCPT000053,John Hernandez,john.hernandez651@hotmail.com,844-591-8155,183,True
RCPT000054,Christopher Martinez,christopher.martinez18@hotmail.com,651-879-6837,93,True
RCPT000055,Mary Martinez,mary.martinez344@hotmail.com,234-856-3257,267,False
RCPT000056,James Gonzalez,james.gonzalez896@gmail.com,866-593-6081,1244,True
RCPT000057,Karen Davis,karen.davis341@outlook.com,864-556-9293,84,True
RCPT000058,Betty Gonzalez,betty.gonzalez217@yahoo.com,613-499-8982,287,True
RCPT000059,Elizabeth Lopez,elizabeth.lopez334@gmail.com,696-239-9584,1495,True
RCPT000060,Linda Lopez,linda.lopez67@hotmail.com,858-883-4014,534,True
RCPT000061,Christopher Martin,christopher.martin646@outlook.com,611-919-5059,1375,True
RCPT000062,Matthew Johnson,matthew.johnson748@gmail.com,466-565-4468,1212,True
RCPT000063,William Moore,william.moore889@outlook.com,707-847-3715,1725,True
RCPT000064,Patricia Martinez,patricia.martinez11@outlook.com,312-956-8168,105,False
RCPT000065,Michael Williams,michael.williams510@gmail.com,804-713-2895,1818,False
RCPT000066,Susan Moore,susan.moore933@gmail.com,428-218-4765,1758,True
RCPT000067,Richard Martin,richard.martin112@yahoo.com,762-298-6977,112,True
RCPT000068,Richard Rodriguez,richard.rodriguez334@hotmail.com,618-594-3514,758,False
RCPT000069,Linda Brown,linda.brown159@hotmail.com,424-631-2769,261,False
RCPT000070,Richard Jackson,richard.jackson513@outlook.com,604-376-3650,1612,True
RCPT000071,Sandra Thomas,sandra.thomas811@hotmail.com,700-486-6961,77,True
RCPT000072,Christopher Jackson,christopher.jackson664@outlook.com,322-677-4793,1336,True
RCPT000073,John Hernandez,john.hernandez793@outlook.com,296-634-1603,569,True
RCPT000074,Richard Williams,richard.williams272@hotmail.com,658-289-7838,682,True
RCPT000075,Margaret Rodriguez,margaret.rodriguez269@gmail.com,578-389-8047,536,True
RCPT000076,Barbara Taylor,barbara.taylor758@yahoo.com,813-624-5682,1492,True
RCPT000077,William Williams,william.williams676@gmail.com,424-947-8584,1143,True
RCPT000078,William Martin,william.martin519@outlook.com,638-338-1342,1235,True
RCPT000079,Betty Moore,betty.moore828@yahoo.com,654-452-7425,667,True
RCPT000080,Elizabeth Garcia,elizabeth.garcia837@outlook.com,886-626-1039,1444,False
RCPT000081,Elizabeth Brown,elizabeth.brown319@outlook.com,467-981-5427,7,True
RCPT000082,Susan Brown,susan.brown195@hotmail.com,395-489-3538,667,True
RCPT000083,David Gonzalez,david.gonzalez89@yahoo.com,346-640-3497,1703,True
RCPT000084,Michael Moore,michael.moore262@gmail.com,904-568-6647,149,True
RCPT000085,Charles Lopez,charles.lopez280@yahoo.com,843-570-3316,1775,False
RCPT000086,David Smith,david.smith377@outlook.com,754-715-2011,1046,True
RCPT000087,Christopher Taylor,christopher.taylor945@yahoo.com,913-213-8186,321,False
RCPT000088,John Jones,john.jones401@yahoo.com,410-514-1534,1418,True
RCPT000089,Nancy Martin,nancy.martin217@outlook.com,742-307-5067,311,False
RCPT000090,Jessica Garcia,jessica.garcia463@yahoo.com,449-358-7708,257,False
RCPT000091,Joseph Wilson,joseph.wilson450@hotmail.com,644-829-6500,1038,True
RCPT000092,Charles Martinez,charles.martinez781@outlook.com,750-657-8500,1542,True
RCPT000093,Charles Jones,charles.jones589@hotmail.com,474-821-4176,1613,True
RCPT000094,Michael Wilson,michael.wilson501@hotmail.com,852-706-3572,1775,False
RCPT000095,Susan Taylor,susan.taylor267@gmail.com,903-538-4766,829,False
RCPT000096,Mark Anderson,mark.anderson662@yahoo.com,981-391-1520,392,True
RCPT000097,Richard Brown,richard.brown924@yahoo.com,309-695-8375,1223,True
RCPT000098,David Davis,david.davis310@gmail.com,412-767-9749,454,True
RCPT000099,Michael Brown,michael.brown670@hotmail.com,880-945-2570,1049,True
RCPT000100,Patricia Gonzalez,patricia.gonzalez413@hotmail.com,753-211-3580,512,False
RCPT000101,Robert Moore,robert.moore60@gmail.com,811-427-9204,1083,True
RCPT000102,Michael Williams,michael.williams113@hotmail.com,482-993-4948,1154,False
RCPT000103,Sarah Brown,sarah.brown369@outlook.com,451-466-2418,1762,True
RCPT000104,Charles Williams,charles.williams23@outlook.com,993-636-1201,1025,False
RCPT000105,Margaret Garcia,margaret.garcia242@outlook.com,561-261-5746,814,True
RCPT000106,Robert Wilson,robert.wilson935@yahoo.com,346-518-9101,1131,True
RCPT000107,Robert Hernandez,robert.hernandez108@yahoo.com,636-856-2626,1623,True
RCPT000108,David Johnson,david.johnson979@outlook.com,328-266-1988,1085,True
RCPT000109,Mary Williams,mary.williams331@outlook.com,828-795-9133,1335,True
RCPT000110,Richard Jones,richard.jones727@gmail.com,238-777-8825,1316,True
RCPT000111,Jennifer Wilson,jennifer.wilson544@outlook.com,628-583-1812,1093,True
RCPT000112,Susan Moore,susan.moore96@outlook.com,770-889-3686,233,True
RCPT000113,Mary Anderson,mary.anderson977@yahoo.com,682-400-1883,1077,False
RCPT000114,John Rodriguez,john.rodriguez773@yahoo.com,792-218-4195,1268,True
RCPT000115,Karen Jones,karen.jones27@gmail.com,549-956-7408,363,False
RCPT000116,Betty Johnson,betty.johnson494@gmail.com,847-381-5661,1009,True
RCPT000117,Thomas Hernandez,thomas.hernandez915@outlook.com,838-735-9753,1727,True
RCPT000118,John Davis,john.davis173@outlook.com,433-745-2920,1823,True
RCPT000119,Jennifer Jones,jennifer.jones611@yahoo.com,377-338-8430,1374,True
RCPT000120,Matthew Hernandez,matthew.hernandez263@gmail.com,314-503-5076,1128,True
RCPT000121,Jessica Lopez,jessica.lopez299@yahoo.com,856-287-9288,1100,False
RCPT000122,Betty Martinez,betty.martinez370@hotmail.com,665-759-1853,118,False
RCPT000123,Anthony Jackson,anthony.jackson178@hotmail.com,971-638-4550,819,False
RCPT000124,Karen Taylor,karen.taylor248@outlook.com,558-568-6988,1328,True
RCPT000125,William Hernandez,william.hernandez558@yahoo.com,752-704-6912,80,True
RCPT000126,Margaret Thomas,margaret.thomas766@outlook.com,232-831-1888,1499,True
RCPT000127,Patricia Anderson,patricia.anderson809@yahoo.com,297-845-2274,1626,True
RCPT000128,Matthew Lopez,matthew.lopez602@gmail.com,489-397-4432,485,True
RCPT000129,Betty Lopez,betty.lopez690@outlook.com,794-630-5335,38,True
RCPT000130,Mary Williams,mary.williams320@outlook.com,231-292-4275,428,True
RCPT000131,Jennifer Smith,jennifer.smith870@outlook.com,370-378-7278,112,True
RCPT000132,John Gonzalez,john.gonzalez762@hotmail.com,333-978-7329,817,True
RCPT000133,Linda Brown,linda.brown389@gmail.com,499-253-3558,390,True
RCPT000134,James Williams,james.williams487@gmail.com,907-659-2983,1234,True
RCPT000135,David Anderson,david.anderson944@hotmail.com,247-542-2804,1237,True
RCPT000136,James Moore,james.moore76@gmail.com,205-975-6451,846,False
RCPT000137,Betty Davis,betty.davis653@hotmail.com,361-627-4700,748,True
RCPT000138,John Thomas,john.thomas819@outlook.com,444-570-3983,541,True
RCPT000139,Linda Smith,linda.smith154@yahoo.com,739-975-7166,981,True
RCPT000140,Mary Gonzalez,mary.gonzalez425@hotmail.com,960-633-1355,346,True
RCPT000141,Charles Garcia,charles.garcia991@yahoo.com,575-656-8213,909,True
RCPT000142,John Martinez,john.martinez594@gmail.com,576-682-2400,1021,True
RCPT000143,Michael Jones,michael.jones132@outlook.com,898-839-9080,1422,True
RCPT000144,Jennifer Gonzalez,jennifer.gonzalez125@hotmail.com,739-675-9562,1279,True
RCPT000145,Richard Moore,richard.moore883@yahoo.com,301-688-2734,650,True
RCPT000146,John Williams,john.williams265@yahoo.com,940-469-2900,322,True
RCPT000147,Daniel Taylor,daniel.taylor320@hotmail.com,512-626-8202,445,True
RCPT000148,Sandra Miller,sandra.miller455@gmail.com,958-681-5320,190,True
RCPT000149,Nancy Wilson,nancy.wilson412@hotmail.com,517-525-1876,1112,True
RCPT000150,Jessica Smith,jessica.smith197@hotmail.com,207-325-2487,1010,False
RCPT000151,Mark Williams,mark.williams473@gmail.com,596-306-4379,1332,True
RCPT000152,Patricia Brown,patricia.brown689@yahoo.com,662-418-9720,454,True
RCPT000153,Nancy Taylor,nancy.taylor647@gmail.com,665-366-1485,501,True
RCPT000154,Jessica Jackson,jessica.jackson390@hotmail.com,632-465-1200,63,True
RCPT000155,Charles Williams,charles.williams682@hotmail.com,497-332-7534,1481,True
RCPT000156,Daniel Anderson,daniel.anderson567@yahoo.com,497-276-3014,863,True
RCPT000157,Michael Rodriguez,michael.rodriguez781@yahoo.com,510-876-2142,1713,True
RCPT000158,William Thomas,william.thomas325@hotmail.com,874-605-8151,296,True
RCPT000159,Sandra Taylor,sandra.taylor150@yahoo.com,434-263-7970,1807,True
RCPT000160,Robert Williams,robert.williams816@gmail.com,632-723-5287,820,True
RCPT000161,Linda Taylor,linda.taylor827@hotmail.com,300-842-6536,1257,True
RCPT000162,Linda Rodriguez,linda.rodriguez942@outlook.com,600-526-3406,133,False
RCPT000163,Elizabeth Wilson,elizabeth.wilson264@hotmail.com,392-979-4827,202,False
RCPT000164,Matthew Rodriguez,matthew.rodriguez595@hotmail.com,209-640-1552,1596,True
RCPT000165,Christopher Martinez,christopher.martinez106@gmail.com,907-418-8795,1338,True
RCPT000166,Sandra Davis,sandra.davis658@hotmail.com,856-635-4966,1296,True
RCPT000167,Matthew Smith,matthew.smith970@outlook.com,756-812-1745,1309,False
RCPT000168,Sarah Wilson,sarah.wilson591@hotmail.com,663-965-7156,110,True
RCPT000169,Sarah Taylor,sarah.taylor233@gmail.com,480-309-6287,1299,True
RCPT000170,Christopher Martinez,christopher.martinez501@hotmail.com,710-446-4901,548,True
RCPT000171,Barbara Martin,barbara.martin481@yahoo.com,642-977-8828,71,True
RCPT000172,Nancy Wilson,nancy.wilson515@hotmail.com,359-571-4955,157,False
RCPT000173,Betty Hernandez,betty.hernandez50@hotmail.com,204-777-4510,971,True
RCPT000174,John Brown,john.brown531@hotmail.com,836-607-8334,551,True
RCPT000175,Lisa Martin,lisa.martin368@yahoo.com,778-221-6366,1484,True
RCPT000176,Mary Martin,mary.martin359@outlook.com,784-356-9227,139,True
RCPT000177,Joseph Jones,joseph.jones400@outlook.com,717-250-7499,421,True
RCPT000178,Elizabeth Williams,elizabeth.williams437@gmail.com,292-811-6674,1766,True
RCPT000179,Mary Gonzalez,mary.gonzalez182@outlook.com,725-861-1424,1046,True
RCPT000180,Richard Taylor,richard.taylor819@yahoo.com,291-980-3010,308,True
RCPT000181,Joseph Jackson,joseph.jackson341@yahoo.com,767-352-3624,430,True
RCPT000182,John Garcia,john.garcia338@outlook.com,697-710-3244,710,True
RCPT000183,Anthony Miller,anthony.miller532@hotmail.com,974-639-3019,870,True
RCPT000184,Daniel Anderson,daniel.anderson717@gmail.com,467-294-4104,572,True
RCPT000185,Jessica Thomas,jessica.thomas194@yahoo.com,406-523-9059,477,False
RCPT000186,Margaret Rodriguez,margaret.rodriguez185@gmail.com,892-516-3474,25,True
RCPT000187,Jennifer Johnson,jennifer.johnson450@yahoo.com,692-467-2833,757,False
RCPT000188,John Martin,john.martin726@hotmail.com,346-550-1825,1761,True
RCPT000189,Charles Jones,charles.jones680@hotmail.com,431-856-1035,1769,True
RCPT000190,Barbara Moore,barbara.moore504@outlook.com,822-923-4665,810,True
RCPT000191,Nancy Garcia,nancy.garcia501@yahoo.com,671-799-6705,930,True
RCPT000192,Linda Taylor,linda.taylor739@gmail.com,632-897-2170,262,True
RCPT000193,John Davis,john.davis329@gmail.com,304-875-2206,491,True
RCPT000194,Mary Brown,mary.brown31@outlook.com,536-392-7110,1567,True
RCPT000195,Jennifer Rodriguez,jennifer.rodriguez415@hotmail.com,737-994-5724,1458,True
RCPT000196,Jennifer Miller,jennifer.miller143@yahoo.com,385-433-3787,69,False
RCPT000197,Betty Davis,betty.davis537@hotmail.com,920-685-1970,1574,True
RCPT000198,Michael Jackson,michael.jackson851@gmail.com,454-691-1195,1079,True
RCPT000199,Sarah Anderson,sarah.anderson982@yahoo.com,691-832-3776,254,True
RCPT000200,Patricia Wilson,patricia.wilson836@yahoo.com,343-584-1886,1057,True
RCPT000201,Karen Martin,karen.martin215@outlook.com,269-581-2748,1280,True
RCPT000202,John Anderson,john.anderson863@hotmail.com,476-931-9920,1146,True
RCPT000203,Sarah Smith,sarah.smith203@outlook.com,853-484-8170,1819,True
RCPT000204,Sarah Brown,sarah.brown99@yahoo.com,413-656-2002,1375,True
RCPT000205,Charles Rodriguez,charles.rodriguez406@yahoo.com,513-575-6130,632,True
RCPT000206,Joseph Thomas,joseph.thomas904@gmail.com,215-528-4811,730,True
RCPT000207,Christopher Taylor,christopher.taylor532@yahoo.com,409-470-2656,1367,True
RCPT000208,Matthew Taylor,matthew.taylor29@yahoo.com,778-867-4806,1060,True
RCPT000209,Mary Jones,mary.jones747@hotmail.com,703-692-3719,698,False
RCPT000210,Lisa Lopez,lisa.lopez225@outlook.com,271-580-7982,1578,True
RCPT000211,Patricia Hernandez,patricia.hernandez906@yahoo.com,421-961-1545,914,True
RCPT000212,Richard Wilson,richard.wilson427@outlook.com,262-860-7579,437,True
RCPT000213,John Brown,john.brown587@gmail.com,935-641-2528,214,True
RCPT000214,David Davis,david.davis27@yahoo.com,701-410-2869,1723,True
RCPT000215,William Johnson,william.johnson236@outlook.com,704-837-2264,956,True
RCPT000216,Matthew Miller,matthew.miller498@yahoo.com,228-624-2597,1661,True
RCPT000217,Mark Johnson,mark.johnson918@gmail.com,493-579-9476,266,True
RCPT000218,Jessica Jones,jessica.jones826@gmail.com,600-386-5428,920,True
RCPT000219,Robert Martinez,robert.martinez442@hotmail.com,689-449-3415,738,True
RCPT000220,Mary Wilson,mary.wilson968@hotmail.com,337-789-1394,687,True
RCPT000221,Richard Anderson,richard.anderson640@gmail.com,332-224-8377,326,True
RCPT000222,Karen Lopez,karen.lopez489@gmail.com,439-521-6256,23,True
RCPT000223,Charles Martin,charles.martin772@outlook.com,752-965-5309,569,True
RCPT000224,Susan Hernandez,susan.hernandez975@outlook.com,961-913-9824,1598,True
RCPT000225,Anthony Anderson,anthony.anderson270@hotmail.com,389-234-6154,534,True
RCPT000226,Sandra Lopez,sandra.lopez926@gmail.com,578-907-6338,860,False
RCPT000227,Betty Rodriguez,betty.rodriguez10@yahoo.com,249-319-7448,1323,False
RCPT000228,Betty Hernandez,betty.hernandez616@yahoo.com,236-224-2172,459,True
RCPT000229,Margaret Williams,margaret.williams311@gmail.com,557-955-9828,107,False
RCPT000230,Christopher Thomas,christopher.thomas20@gmail.com,460-478-8100,736,True
RCPT000231,Thomas Rodriguez,thomas.rodriguez6@gmail.com,213-241-5813,77,True
RCPT000232,Elizabeth Wilson,elizabeth.wilson261@hotmail.com,457-838-8568,789,True
RCPT000233,Elizabeth Moore,elizabeth.moore830@outlook.com,559-374-6919,833,True
RCPT000234,Elizabeth Moore,elizabeth.moore595@yahoo.com,488-605-7963,276,True
RCPT000235,Joseph Wilson,joseph.wilson62@gmail.com,397-743-1647,1427,False
RCPT000236,Karen Hernandez,karen.hernandez757@gmail.com,291-719-2836,350,True
RCPT000237,Betty Gonzalez,betty.gonzalez362@yahoo.com,897-873-7109,123,True
RCPT000238,Barbara Jackson,barbara.jackson338@gmail.com,515-446-2783,693,True
RCPT000239,Joseph Williams,joseph.williams795@outlook.com,462-272-8091,1401,True
RCPT000240,Jessica Thomas,jessica.thomas878@outlook.com,393-988-2663,1282,True
RCPT000241,Daniel Davis,daniel.davis796@yahoo.com,917-453-2992,1196,False
RCPT000242,Richard Thomas,richard.thomas60@yahoo.com,570-514-7156,205,False
RCPT000243,Thomas Rodriguez,thomas.rodriguez943@hotmail.com,484-588-7871,580,True
RCPT000244,Matthew Taylor,matthew.taylor622@yahoo.com,457-899-6051,173,True
RCPT000245,Jennifer Taylor,jennifer.taylor917@gmail.com,290-447-8273,1296,True
RCPT000246,William Rodriguez,william.rodriguez786@outlook.com,929-809-3574,1600,False
RCPT000247,Lisa Hernandez,lisa.hernandez589@gmail.com,934-472-5904,1086,True
RCPT000248,James Smith,james.smith589@hotmail.com,593-547-9919,523,False
RCPT000249,Linda Jackson,linda.jackson159@hotmail.com,773-959-9243,1013,True
RCPT000250,Christopher Thomas,christopher.thomas770@yahoo.com,689-606-8820,857,True
RCPT000251,Margaret Jackson,margaret.jackson482@yahoo.com,663-743-1741,659,True
RCPT000252,William Jones,william.jones360@gmail.com,776-302-9814,931,True
RCPT000253,Susan Jones,susan.jones868@outlook.com,513-652-8130,1653,False
RCPT000254,Susan Wilson,susan.wilson711@outlook.com,971-258-2337,1205,True
RCPT000255,Karen Miller,karen.miller916@hotmail.com,367-589-5147,259,True
RCPT000256,Charles Martin,charles.martin216@gmail.com,659-645-9130,1732,True
RCPT000257,Thomas Lopez,thomas.lopez431@outlook.com,526-788-2913,54,True
RCPT000258,Margaret Wilson,margaret.wilson752@yahoo.com,951-805-7810,994,True
RCPT000259,Nancy Martinez,nancy.martinez877@hotmail.com,656-688-8885,1690,True
RCPT000260,William Johnson,william.johnson364@outlook.com,679-256-3208,748,True
RCPT000261,Daniel Williams,daniel.williams369@hotmail.com,488-462-5623,74,True
RCPT000262,Joseph Hernandez,joseph.hernandez136@hotmail.com,598-845-4546,1005,True
RCPT000263,Sandra Rodriguez,sandra.rodriguez957@hotmail.com,565-544-6518,1454,False
RCPT000264,Richard Wilson,richard.wilson216@yahoo.com,546-906-5448,377,True
RCPT000265,Daniel Hernandez,daniel.hernandez28@hotmail.com,420-999-1161,1405,False
RCPT000266,Jennifer Thomas,jennifer.thomas951@outlook.com,333-740-3341,973,False
RCPT000267,Charles Hernandez,charles.hernandez689@outlook.com,261-934-5467,1724,True
RCPT000268,Lisa Wilson,lisa.wilson837@outlook.com,223-440-7713,868,True
RCPT000269,Betty Garcia,betty.garcia797@outlook.com,645-897-6017,542,True
RCPT000270,Christopher Martin,christopher.martin986@hotmail.com,401-908-6904,95,True
RCPT000271,Jessica Martin,jessica.martin851@outlook.com,305-642-6814,459,False
RCPT000272,Jessica Anderson,jessica.anderson698@hotmail.com,342-484-9044,218,False
RCPT000273,Elizabeth Jackson,elizabeth.jackson67@gmail.com,598-397-8017,1192,True
RCPT000274,James Thomas,james.thomas823@yahoo.com,551-821-3882,706,True
RCPT000275,Patricia Gonzalez,patricia.gonzalez621@gmail.com,557-637-8805,1086,True
RCPT000276,Jessica Martin,jessica.martin522@yahoo.com,413-254-8835,1372,True
RCPT000277,James Taylor,james.taylor65@yahoo.com,420-972-6044,1690,True
RCPT000278,Robert Miller,robert.miller970@outlook.com,506-437-3913,1703,False
RCPT000279,Charles Garcia,charles.garcia777@hotmail.com,838-488-2600,1131,True
RCPT000280,John Gonzalez,john.gonzalez689@hotmail.com,825-827-2930,242,True
RCPT000281,Charles Martinez,charles.martinez431@hotmail.com,240-453-2116,220,True
RCPT000282,Sarah Anderson,sarah.anderson614@gmail.com,469-645-6852,1209,True
RCPT000283,Patricia Williams,patricia.williams670@yahoo.com,228-393-4776,1153,True
RCPT000284,Barbara Martin,barbara.martin975@outlook.com,642-896-8089,1324,True
RCPT000285,Robert Miller,robert.miller588@hotmail.com,393-771-4404,1477,False
RCPT000286,Barbara Martinez,barbara.martinez908@yahoo.com,742-712-5913,789,True
RCPT000287,Jessica Thomas,jessica.thomas248@hotmail.com,842-763-6316,110,True
RCPT000288,James Garcia,james.garcia896@outlook.com,686-339-2299,930,True
RCPT000289,Anthony Williams,anthony.williams411@yahoo.com,566-247-6406,722,True
RCPT000290,Jennifer Wilson,jennifer.wilson455@yahoo.com,484-870-6000,1384,True
RCPT000291,Daniel Anderson,daniel.anderson148@outlook.com,771-935-8559,1562,False
RCPT000292,Charles Davis,charles.davis752@hotmail.com,808-281-3809,1752,False
RCPT000293,Joseph Garcia,joseph.garcia519@outlook.com,691-463-9156,1615,False
RCPT000294,Sandra Martin,sandra.martin86@gmail.com,501-218-8259,778,True
RCPT000295,Karen Gonzalez,karen.gonzalez887@outlook.com,521-387-5615,206,True
RCPT000296,Jessica Davis,jessica.davis77@gmail.com,344-218-5680,42,True
RCPT000297,John Smith,john.smith472@gmail.com,780-270-3206,1219,True
RCPT000298,Linda Davis,linda.davis468@gmail.com,384-632-6970,897,True
RCPT000299,Elizabeth Martin,elizabeth.martin406@yahoo.com,566-525-1490,162,True
RCPT000300,Barbara Miller,barbara.miller925@gmail.com,877-281-1497,1807,True
RCPT000301,Lisa Hernandez,lisa.hernandez524@hotmail.com,578-605-8256,1728,True
RCPT000302,Mark Williams,mark.williams833@yahoo.com,688-258-1758,1483,True
RCPT000303,Nancy Anderson,nancy.anderson282@yahoo.com,294-661-6889,850,True
RCPT000304,Betty Thomas,betty.thomas239@gmail.com,389-306-8295,437,False
RCPT000305,Michael Davis,michael.davis854@outlook.com,848-874-1725,171,True
RCPT000306,Patricia Martinez,patricia.martinez580@yahoo.com,623-360-2257,1694,True
RCPT000307,Sandra Garcia,sandra.garcia973@hotmail.com,215-200-7814,159,True
RCPT000308,Thomas Gonzalez,thomas.gonzalez343@hotmail.com,909-807-7985,826,True
RCPT000309,Jennifer Hernandez,jennifer.hernandez876@gmail.com,477-455-6593,1112,True
RCPT000310,Anthony Rodriguez,anthony.rodriguez849@outlook.com,285-265-1506,1611,True
RCPT000311,Elizabeth Hernandez,elizabeth.hernandez54@gmail.com,523-964-4971,144,True
RCPT000312,Charles Hernandez,charles.hernandez626@outlook.com,259-354-8895,832,True
RCPT000313,Betty Rodriguez,betty.rodriguez816@outlook.com,696-821-8160,855,True
RCPT000314,Margaret Hernandez,margaret.hernandez263@hotmail.com,585-353-6190,968,True
RCPT000315,James Rodriguez,james.rodriguez174@yahoo.com,517-610-5275,1551,True
RCPT000316,Richard Jackson,richard.jackson898@hotmail.com,878-964-9195,850,True
RCPT000317,Matthew Thomas,matthew.thomas346@hotmail.com,308-956-9490,327,False
RCPT000318,Matthew Thomas,matthew.thomas112@gmail.com,507-775-2591,784,True
RCPT000319,Barbara Moore,barbara.moore22@gmail.com,781-711-6411,726,False
RCPT000320,Mary Moore,mary.moore175@outlook.com,703-955-9985,782,True
RCPT000321,Mark Johnson,mark.johnson269@hotmail.com,951-496-2497,613,True
RCPT000322,Lisa Jones,lisa.jones640@hotmail.com,984-348-7625,1012,True
RCPT000323,Thomas Moore,thomas.moore63@hotmail.com,244-266-6380,1678,True
RCPT000324,Linda Anderson,linda.anderson686@outlook.com,989-381-7729,1045,True
RCPT000325,Mark Martin,mark.martin971@outlook.com,244-500-3342,522,True
RCPT000326,Susan Jackson,susan.jackson682@gmail.com,501-353-1091,912,False
RCPT000327,Nancy Moore,nancy.moore81@outlook.com,869-210-1722,879,True
RCPT000328,Mark Rodriguez,mark.rodriguez226@outlook.com,568-790-8739,316,True
RCPT000329,Karen Anderson,karen.anderson401@outlook.com,954-307-1776,641,True
RCPT000330,Patricia Anderson,patricia.anderson803@gmail.com,530-238-1479,1632,False
RCPT000331,Susan Smith,susan.smith83@outlook.com,556-975-2816,1455,True
RCPT000332,James Anderson,james.anderson935@outlook.com,766-456-3933,1039,True
RCPT000333,Barbara Lopez,barbara.lopez468@outlook.com,305-742-8010,990,False
RCPT000334,Betty Johnson,betty.johnson444@outlook.com,699-334-2512,1238,True
RCPT000335,Betty Garcia,betty.garcia567@yahoo.com,506-800-2922,531,True
